VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-04-09 12:59:16,2022-04-09 13:18:58,1.0,1.2,1.0,N,90,170,2,12.5,2.5,0.5,3.15,0.0,0.3,18.95,2.5,0.0
2,2022-04-09 13:25:27,2022-04-09 13:39:32,6.0,1.02,1.0,N,229,161,3,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5,0.0
2,2022-04-09 14:56:18,2022-04-09 15:25:30,2.0,9.31,1.0,N,163,138,3,30.5,0.0,0.5,0.0,0.0,0.3,33.8,2.5,0.0
2,2022-04-09 13:57:02,2022-04-09 14:15:31,5.0,1.09,1.0,N,211,232,2,12.0,0.0,0.5,4.59,0.0,0.3,19.89,2.5,0.0
2,2022-04-09 15:55:03,2022-04-09 15:59:53,3.0,0.6,1.0,N,236,43,2,5.0,0.0,0.5,2.49,0.0,0.3,10.79,2.5,0.0
2,2022-04-09 15:44:45,2022-04-09 15:50:28,1.0,1.07,1.0,N,141,140,2,6.0,0.0,0.5,1.4,0.0,0.3,10.7,2.5,0.0
2,2022-04-09 15:29:52,2022-04-09 15:50:38,1.0,3.33,1.0,N,144,255,2,16.0,0.0,0.5,3.86,0.0,0.3,23.16,2.5,0.0
2,2022-04-09 16:14:00,2022-04-09 16:59:54,1.0,15.95,2.0,N,170,132,3,52.0,0.0,0.5,0.0,6.55,0.3,61.85,2.5,0.0
2,2022-04-09 16:18:53,2022-04-09 16:33:17,1.0,2.36,1.0,N,233,148,2,11.5,0.0,0.5,2.5,0.0,0.3,17.3,2.5,0.0
2,2022-04-09 16:21:01,2022-04-09 16:35:32,1.0,2.93,1.0,N,79,229,2,12.0,0.0,0.5,1.53,0.0,0.3,16.83,2.5,0.0
2,2022-04-09 16:31:45,2022-04-09 16:46:39,1.0,2.48,1.0,N,43,161,2,11.5,0.0,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-04-09 16:14:48,2022-04-09 16:18:46,1.0,0.67,1.0,N,143,239,2,5.0,0.0,0.5,1.0,0.0,0.3,9.3,2.5,0.0
2,2022-04-09 16:54:13,2022-04-09 17:14:08,1.0,2.23,1.0,N,79,90,2,14.0,0.0,0.5,4.32,0.0,0.3,21.62,2.5,0.0
2,2022-04-09 17:15:09,2022-04-09 17:23:02,1.0,0.94,1.0,N,237,43,2,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,2022-04-09 18:48:48,2022-04-09 19:08:39,1.0,3.87,1.0,N,262,7,2,16.0,0.0,0.5,4.83,0.0,0.3,24.13,2.5,0.0
